year,state_po,district,COUNTA of Key,Race key,Democrat name,Republican name,Experience (D),Experience (R),Campaign finance (D),Campaign finance (R),candidates votes (D),Candidates votes (R)
2018,AK,0,2,AK_0_2018,ALYSE S GALVIN,DON YOUNG,2,46,1943398.59,1387687.05,131199,149779
2018,AL,1,2,AL_1_2018,ROBERT KENNEDY JR,BRADLEY BYRNE,0,6,166845.21,834780.43,89226,153228
2018,AL,2,2,AL_2_2018,TABITHA ISNER,MARTHA ROBY,0,10,524941.35,2277448.83,86931,138879
2018,AL,3,2,AL_3_2018,MALLORY HAGAN,MIKE ROGERS,0,20,464472.2,1348278.3,83996,147770
2018,AL,4,2,AL_4_2018,LEE AUMAN,ROBERT ADERHOLT,0,26,77551.69,1300365.01,46492,184255
2018,AL,5,2,AL_5_2018,PETER JOFFRION,MO BROOKS,0,12,587237.93,2006001.97,101388,159063
2018,AL,6,2,AL_6_2018,DANNER KLINE,GARY PALMER,0,8,287432.23,1496359.76,85644,192542
2018,AR,1,2,AR_1_2018,CHINTAN DESAI,RICK CRAWFORD,0,12,137153.22,966616.64,57907,138757
2018,AR,2,2,AR_2_2018,CLARKE TUCKER,FRENCH HILL,0,8,2359234.62,3536453.22,116135,132125
2018,AR,3,2,AR_3_2018,JOSH MAHONY,STEVE WOMACK,0,12,265214.3,1218424.03,74952,148717
2018,AR,4,2,AR_4_2018,HAYDEN CATHERINE SHAMEL,BRUCE WESTERMAN,0,8,155049.94,1297141.11,63984,136740
2018,AZ,1,2,AZ_1_2018,TOM O'HALLERAN,WENDY ROGERS,6,6,2760247.97,1427124.4,143240,122784
2018,AZ,2,2,AZ_2_2018,ANN KIRKPATRICK,LEA MARQUEZ PETERSON,14,0,4519793.32,12697,161000,133083
2018,AZ,3,2,AZ_3_2018,RAUL GRIJALVA,"NICOLAS ""NICK"" PIERSON",20,0,733300.37,71640.5,114650,64868
2018,AZ,4,2,AZ_4_2018,DAVID BRILL,PAUL GOSAR,0,12,598541.66,575157.87,84521,188842
2018,AZ,5,2,AZ_5_2018,JOAN GREENE,ANDY BIGGS,4,6,199163.32,552967.73,127027,186037
2018,AZ,6,2,AZ_6_2018,ANITA MALIK,DAVID SCHWEIKERT,2,28,391755.8,1773912.37,140559,173140
2018,CA,1,2,CA_1_2018,AUDREY DENNEY,DOUG LA MALFA,2,10,1097092.46,1179453.85,131548,160046
2018,CA,2,2,CA_2_2018,JARED HUFFMAN,DALE K MENSING,10,6,731368.14,3729.25,243081,72576
2018,CA,3,2,CA_3_2018,JOHN GARAMENDI,CHARLIE SCHAUPP,12,22,839434.81,27158.94,134875,97376
2018,CA,4,2,CA_4_2018,JESSICA MORSE,TOM MCCLINTOCK,0,36,3711060.21,1800346.86,156253,184401
2018,CA,6,2,CA_6_2018,DORIS MATSUI,Null,16,Null,1118818.56,Null,162411,Null
2018,CA,7,2,CA_7_2018,AMI BERA,ANDREW GRANT,12,0,1769089.63,549841.35,155016,126601
2018,CA,8,2,CA_8_2018,Null,PAUL COOK,Null,8,Null,1409426.35,Null,102415
2018,CA,9,2,CA_9_2018,JERRY MCNERNEY,MARLA LIVENGOOD,18,0,1285784.91,97462.93,113414,87349
2018,CA,10,2,CA_10_2018,JOSH HARDER,JEFF DENHAM,4,12,8421288.43,4932044.09,115945,105955
2018,CA,11,2,CA_11_2018,MARK DESAULNIER,JOHN FITZGERALD,12,8,489011.76,0,204369,71312
2018,CA,12,2,CA_12_2018,NANCY PELOSI,LISA REMMER,34,0,5438034.69,22442.61,275292,41780
2018,CA,14,2,CA_14_2018,JACKIE SPEIER,CRISTINA OSMENA,14,0,748371.32,0,211384,55439
2018,CA,15,2,CA_15_2018,ERIC SWALWELL,RUDY L PETERS JR,10,0,2462007.82,56807.88,177989,65940
2018,CA,16,2,CA_16_2018,JIM COSTA,ELIZABETH HENG,18,0,2363583.43,1267197.95,82266,60693
2018,CA,17,2,CA_17_2018,RO KHANNA,RON COHEN,18,2,1922134.46,3590,159105,52057
2018,CA,18,2,CA_18_2018,ANNA G ESHOO,CHRISTINE RUSSELL,34,0,1361644.46,0,225142,77096
2018,CA,19,2,CA_19_2018,ZOE LOFGREN,JUSTIN JAMES AGUILERA,28,2,1872385.37,22256.57,162496,57823
2018,CA,21,2,CA_21_2018,TJ COX,DAVID G VALADAO,12,10,0,3255419.06,57239,56377
2018,CA,22,2,CA_22_2018,ANDREW JANZ,DEVIN G NUNES,0,24,9211821.7,11629556.14,105136,117243
2018,CA,23,2,CA_23_2018,TATIANA MATTA,KEVIN MCCARTHY,0,16,106342.6,8249321.58,74661,131113
2018,CA,24,2,CA_24_2018,SALUD CARBAJAL,JUSTIN FAREED,6,4,2077611.91,1513003.06,166550,117881
2018,CA,25,2,CA_25_2018,KATIE HILL,STEVE KNIGHT,2,6,8505044.12,2631813.07,133209,111813
2018,CA,26,2,CA_26_2018,JULIA BROWNLEY,ANTONIO SABATO JR,10,0,1788074.84,350222.64,158216,97210
2018,CA,27,2,CA_27_2018,BRYAN WITT,Null,0,Null,10477.31,Null,42132,Null
2018,CA,28,2,CA_28_2018,ADAM B SCHIFF,JOHNNY J NALBANDIAN,22,0,3660828.23,36332.56,196662,54272
2018,CA,29,2,CA_29_2018,TONY CARDENAS,BENITO BENNY BERNAL,10,2,1483992.48,8476,124697,29995
2018,CA,30,2,CA_30_2018,BRAD SHERMAN,MARK S REED,26,4,549092.26,0,191573,69420
2018,CA,31,2,CA_31_2018,PETE AGUILAR,SEAN FLYNN,10,2,2493817.05,1399111.11,110143,77352
2018,CA,32,2,CA_32_2018,GRACE FLORES NAPOLITANO,JOSHUA M SCOTT,24,2,249008.44,5445.19,121759,55272
2018,CA,33,2,CA_33_2018,TED W LIEU,KENNETH WESTON WRIGHT,8,4,974393.02,161454.23,219091,93769
2018,CA,35,2,CA_35_2018,NORMA J TORRES,CHRISTIAN LEONEL VALIENTE,8,0,628449.31,8221.19,103420,45604
2018,CA,36,2,CA_36_2018,RAUL RUIZ,KIMBERLIN BROWN PELZER,10,0,2512376.46,841751.6,122169,84839
